Quel primo sguardo,30 Gennaio 2020,"Tutto è iniziato con uno sguardo, un bicchiere di vino rovesciato e una scusa per restare a parlare un po’ di più."
I Congiunti,4 Maggio 2020,"Il mondo si era fermato. Noi, in qualche modo, no."
Esseri Umani,21 Maggio 2020,"«Ma per te noi cosa siamo?» «Esseri umani!»."
Due Mondi,Luglio 2020,"Roma, Ladispoli, gli amici, le serate, la spiaggia, le lauree e senza accorgercene tutto iniziava a mescolarsi perfettamente."
La Prima Estate,Agosto 2020,"La Sardegna, sole, mare e quel primo «ti amo» detto quasi senza accorgercene."
Asse Milano-Roma,Ottobre 2020,"Chilometri, treni e videochiamate. Eppure stare insieme è sempre stata la parte più semplice di tutte."
Casa,Settembre 2022,"La nostra convivenza che è iniziata così: semplice, spontanea, naturale, felice."
Due Ingegneri,Ottobre 2022,"Alla fine siamo diventati due ingegneri, ma soprattutto, stavamo imparando a costruire una vita insieme."
La Nostra Vita,2023,"Amici, famiglia, viaggi, cene improvvisate e piccoli momenti diventati casa."
Sempre in Viaggio,
Nuove abitudini,2024,
L’Islanda,Dicembre 2024,"Il viaggio della vita è proprio lui, quello che te la cambia. Cascate, gyser, giacchiai, difficile da dimenticare e non solo.."
La Proposta,1 Dicembre 2024,"Sotto l’aurora boreale, nel cielo artico dell’Islanda, tra lacrime e felicità, abbiamo deciso di sceglierci per sempre."
La Promessa,19 Febbraio 2026,"Il primo grande passo verso il giorno che stavamo aspettando da tempo."
Verso il per sempre,21 Maggio 2026,"6 anni festeggiati insieme a Valencia, l’ultimo viaggio da fidanzati prima dell’inizio di una nuova avventura."
Oggi sposi,Oggi, 4 Luglio 2026,"Il nostro per sempre, che ci porta a sceglierci e risceglierci ogni giorno fin dal principio."
